item_name,costco_cost
"Kirkland Signature Turkey Breast, Oven Browned, 4 lb avg wt",5.6
"Kirkland Signature Moisture Shampoo, 33.8 fl oz, 1-count",13.19
"Kirkland Signature Stir Fry Vegetable Blend, 5.5 lbs",12.64
"Kirkland Signature Culinary Parchment Paper, 15"" x 164', 2 ct",17.37
"Kirkland Signature Thin Sliced Chicken Breasts, Boneless Skinless, 10 lbs",37.17
"Kirkland Signature Evaporated Milk, 12 fl oz, 12 ct",14.4
"Kirkland Signature SAE 5W-20 Full Synthetic Motor Oil, 1 Quart, 6 ct",29.03
"Kirkland Signature 5W-30 High Mileage Full Synthetic Motor Oil, 5-Quart 2-pack",63.79
"Kirkland Signature Colombian Ground Coffee, Dark Roast, 1.75 oz, 42 ct",40.91
"Kirkland Signature Organic Ground Saigon Cinnamon, 10.7 oz",6.7
"Kirkland Signature Reynolds Foodservice Foil HD, 18 in x 500 ft",59.39
"Kirkland Signature Advanced Glucosamine, 1500 mg, and Chondroitin, 1200 mg, 280 ct",22.32
"Kirkland Signature Dog Food, Chicken & Rice Formula, 13.2 oz, 24 ct",41.79
"Kirkland Signature House Blend Whole Bean Coffee, Medium Roast, 2.5 lbs",22.98
"Kirkland Signature Liquid Egg Whites, Cage Free, 16 oz, 6 ct",15.72
"Kirkland Signature Freezer Quart Plus Bags, Double Zipper, 264 ct",16.27
"Kirkland Signature Chicken Breast Fillets, Lightly Breaded, 48 oz",17.37
"Kirkland Signature Freezer Gallon Plus Bags, Double Zipper, 192 ct",18.03
"Kirkland Signature Colombian Supremo Whole Bean Coffee, Medium Roast, 3 lbs",24.85
"Kirkland Signature Espresso Blend Whole Bean Coffee, Dark Roast, 2.5 lbs",23.75
"Kirkland Signature Nature's Domain Turkey and Sweet Potato Dog Food, 25 lbs",35.19
"Kirkland Signature Nature's Domain Dog Food, Beef & Sweet Potato, 25 lbs",31.67
"Kirkland Signature Organic Lemonade, 96 fl oz, 2 ct",9.01
"Kirkland Signature 2% Reduced Fat Milk, Lactose-Free, Half Gallon, 3 ct",16.27
"Kirkland Signature Organic Roasted Seaweed with Sesame Oil, 0.60 oz, 10 ct",12.53
"Kirkland Signature Crystal Clear Cutlery Assortment, Clear, 360 ct",18.91
"Kirkland Signature Halal Frenched Rack of Lamb, 2 lb avg wt",19.9
"Kirkland Signature Halal Leg of Lamb, Boneless, 5 lb avg wt",8.35
"Truckload Kirkland Signature Purified Drinking Water, 16.9 fl oz, 18 Pallet Minimum",5.49
"Kirkland Signature Peanut Butter Filled Pretzel Nuggets, 55 oz",12.64
"Kirkland Signature Italian Sausage and Beef Lasagna, 3 lbs, 2 ct",22.98
"Kirkland Signature Aluminum Foil, 12""W x 1000'L",54.99
Kirkland Signature Forged Wedge Set,219.99
Dream Plush Adjustable Wedge Pillow with Cooling Cover,43.99
SWISSGEAR 8097 2-piece Set 20”/24” Softside Spinner,219.99
"Kirkland Signature Leather Golf Glove Left Handed, 4-pack",35.19
"Kirkland Signature Leather Golf Glove, Right Handed, 4-pack",35.19
Kirkland Signature KS1 Left Handed Putter,164.99
Summit Cloud Six Par 3 Golf Stand Bag,109.99
WETFLY Ionic Convertible Fly & Spin Combo,197.99
SafeRacks Golf Bag and Equipment Storage Rack,151.79
Fieldline Tactical Delta 65L Internal Frame Pack,76.99
"Greenworks 24V Drill & Impact Driver 2x2Ah Battery, 4Ah Battery, Charger",329.99
"Copper Tech Women's Golf Glove, 2-pack",32.99
"ALPTREK Snowshoe Kit HD 825, Medium",109.99
"ThermoFlask 12 oz. Insulated Coffee Mug with Handle, 2-pack",32.99
Country Club Elite Golf Mats,307.99
"PUMA Women's No Show Sock, 10-pair",17.59
"ALPTREK Snowshoe Kit HD 821, Small",109.99
"93"" Plush Bear, Blonde",329.99
Kirkland Signature Men's Tailored Fit Dress Shirt-Exact Sleeve Length,31.89
Stitch SL4 Golf Cart Bag,208.99
"ALPTREK Snowshoe Kit HD 930, Large",109.99
Mytagalongs Neoprene Backpack,43.99
Kirkland Signature Men's Traditional Fit Dress Shirt - Exact Sleeve Length,31.89
"StriVectin TL Advanced Tightening Neck Cream Plus, 1 oz, 2-pack",49.49
"Kirkland Signature Powder Laundry Detergent, 200 Loads, 348.8 oz",27.49
"Beyond Meat Plant-Based Patties, 4 oz, 10-count",1.13
Hurom H-320 Slow Juicer,472.99
"Beemster Aged Cheese, Aged 18 Months, Quarter Wheel, Approximately 6 lbs.",153.99
"Kewpie Mayonnaise, 24 fl oz",8.24
Kangaroo Hanger 30-count Combo Pack,38.49
"Utz Pub Crunchy Snack Mix, 44 oz",9.34
"Mateo's Gourmet Salsa, Medium, 32 oz",1.13
Pura d'or Apple Cider Vinegar Thin2Thick Clarifying and Detoxing Shampoo & Conditioner Duo,32.99
"LG 55"" Class - UA7700 Series - 4K UHD Smart TV",329.99
"TCL 55"" Class - Q77K Series - 4K UHD QLED Smart TV - Allstate 3-Year Protection Plan Bundle Included for 5 Years of Total Coverage*",384.99
Del Rey Oaks 74” Accent Console,604.99
Puerta Del Sol TV Console,659.99
GE ENERGY STAR 21.9 cu. ft. Fingerprint Resistant Counter-Depth French-Door Refrigerator,2089.99
"LG 86"" Class - UA9000 Series - 4K UHD Smart TV - Allstate 3-Year Protection Plan Bundle Included For 5 Years of Total Coverage*",769.99
"LG 65"" Class - UA7700 Series - 4K UHD Smart TV",329.97
"Sony 55"" Class - BRAVIA 8 Series - 4K UHD OLED TV - Allstate 3-Year Protection Plan Bundle Included for 5 Years of Total Coverage*",1649.99
